Q,A,label
중요한 통화 였어요.!,그렇게 수다스럽더니 말이 늘었구나!,0
하루종일 누워 있었던 거야?,아뇨...밥은 먹었어요.,0
아뇨...밥은 먹었어요.,사람 참...,0
사람 참...,그럼 이따 봐요...여보 나 힘없어 죽겠어요. 끊어요!,0
오늘 장사 잘 됐어요.?,맨날 그저 그렇죠,0
맨날 그저 그렇죠,어떻게 약주조금 하신 것 같네요.,0
어떻게 약주조금 하신 것 같네요.,아주 쪼금!,0
아주 쪼금!,그럼 살펴 가세요..,0
그런데 왜 기자들이 이렇게 하나도 없어요?,"없기는, 다들 일하러 나갔으니까 없지.",0
없기는  다들 일하러 나갔으니까 없지.,보도국이라고 해서 대단한줄 알았는데 별룬데요.,0
보도국이라고 해서 대단한줄 알았는데 별룬데요.,그래도 이놈아 여기서 대한민국 중요한 뉴스는 다 나가,0
그래서 사기를 어떻게 당하신 겁니까?,애 아빠가 교통사고를 당했다고 전화가 와서요,0
애 아빠가 교통사고를 당했다고 전화가 와서요,다른 말은 없었구요?,0
다른 말은 없었구요?,우리가족 어쩌면 좋아요,0
아저씨 콩나물도 좀 주세요.,네 알았습니다.,0
네 알았습니다.,"아저씨,..혹시 생선도 파세요?",0
아저씨 ..혹시 생선도 파세요?,그럼요,0
그럼요,그럼 고등어 두 마리만 주세요.,0
정말 저 한테 너무 하시는 거 아닙니까?,내가 뭐요,0
내가 뭐요,사람이 그렇게 전화를 하는데 무슨 대답이 있어야죠. 나한테 전화 온거 봤어요? 안 봤어요?,0
사람이 그렇게 전화를 하는데 무슨 대답이 있어야죠. 나한테 전화 온거 봤어요? 안 봤어요?,제가 꼭 대답해야 되요?,0
제가 꼭 대답해야 되요?,대체 왜 그러세요!!!,0
대체 왜 그러세요!!!,아니...왜 소리는 지르고 그래요,0
니 안사람은 어떠냐? 괜찮아 졌냐?,아침에 큰 병원 들렸다가 지금 집에서 쉬고 있어.,0
아침에 큰 병원 들렸다가 지금 집에서 쉬고 있어.,거 다행이네...,0
거 다행이네...,아무튼 고맙다. 그럼!,0
아이고 이것아 내가 걱정이 돼서 그래., 왜 걱정을 하세요.,0
왜 걱정을 하세요.,내가 걱정을 안 하게 생겼니. 니 성격을 알고 우리 아버님 성격을 아는데 내가 걱정이 안돼!,0
내가 걱정을 안 하게 생겼니. 니 성격을 알고 우리 아버님 성격을 아는데 내가 걱정이 안돼!,사실 저도 사돈어른 성격이 좀 걱정되긴 해요.,0
사실 저도 사돈어른 성격이 좀 걱정되긴 해요.,아이고 이 기집애야!,0
여보,당신은 걱정 말고 기다리고 있어. 내가 가서 직접 데리고 올 거니까..,0
당신은 걱정 말고 기다리고 있어. 내가 가서 직접 데리고 올 거니까..,여보 나도 갈게요. 네?,0
여보 나도 갈게요. 네?,당신은 그냥 있어. 내가 어떻게든 설득해서 데리고 올거니까,0
오늘 국장님 안 나오셨어요?,어-오늘 휴가 내셨다고 하던데.,0
어-오늘 휴가 내셨다고 하던데.,휴가요?  무슨 일 있으시데요?,0
휴가요?  무슨 일 있으시데요?,그러니까말야. 보도국장이 평일에 휴가 내는 건 드문 일이잖아. 그래서 우리도 무슨 일인가 하고 있어. ,0
내비둬어. 저도 좀 정리할 시간이 필요 하겠지.,지가 정리할게 뭐 있어요.,0
지가 정리할게 뭐 있어요.,그래도 친구였잖아!,0
그래도 친구였잖아!,누가 뭐래요? 그래도 저렇게 문 잠구고 들어가 있을 일은 아니잖아요,0
누가 뭐래요? 그래도 저렇게 문 잠구고 들어가 있을 일은 아니잖아요,그냥 나둬! 날마다 잡아서 닦달만 하는 게 부모는 아냐,0
그냥 나둬! 날마다 잡아서 닦달만 하는 게 부모는 아냐,속상해서 그러잖아요.,0
여보 이게 무슨 소리예요.,글쎄...,0
글쎄...,아버님 방 아니예요?,0
아버님 방 아니예요?,그러게!,0
너 지금 대체 어디야?,바로 문 앞입니다!,0
바로 문 앞입니다!,이 엉덩이에 뿔난 망아지 같은 거!,0
이 엉덩이에 뿔난 망아지 같은 거!,문 좀 열어주세요. 제가 잘 못했습니다,0
넌 이따가 나 좀 따로 봐!,난 안 봐! 내가 널 왜 봐!,0
난 안 봐! 내가 널 왜 봐!,그렇게 나오신다 이거지?,0
그렇게 나오신다 이거지?,지가 잘못해놓고 왜나한테 화풀이람,0
정말 잘 못했습니다. 제가 파리처럼 이렇게 빌께요. 네?,에라이 파리만도 못한 놈아 반지 도로 찾아와!,0
에라이 파리만도 못한 놈아 반지 도로 찾아와!,17년 전 일인데 어떻게 찾아와요,0
17년 전 일인데 어떻게 찾아와요,헤질 때 도로 달라고 했어야지!,0
헤질 때 도로 달라고 했어야지!,사내자식이 어떻게 헤어진다고 준걸 도로 달라고 그래요,0
사내자식이 어떻게 헤어진다고 준걸 도로 달라고 그래요,훔쳐다 준건 괜찮고?,0
감사했어요 아저씨! 장례식장에서도 다 도와 주시고...끝까지 같이 있어주시고...,네...,0
네...,저희가 언제 그런 걸 해 봤어야죠,0
저희가 언제 그런 걸 해 봤어야죠,제가 뭘...요...,0
제가 뭘...요...,그리고...언니 장지까지 따라와 주셔서 정말 감사했어요,0
어디 가니?,잠깐 나가요,0
잠깐 나가요,다 저녁때에 어딜 가,0
다 저녁때에 어딜 가,금방 와요 먼저드세요,0
금방 와요 먼저드세요,얘!!,0
어디 갔다 오는 거예요? 여기서 한 시간이나 기다렸잖아요!,저를 왜요?,0
저를 왜요?,"그냥..,,아니 근데 전화는 왜 안 받아요? 무슨 일 있어요?",0
그냥..  아니 근데 전화는 왜 안 받아요? 무슨 일 있어요?,아뇨. 없어요.,0
아뇨. 없어요.,무슨 일 있는 것 같은데요?,0
무...무슨 일인지는 모르지만...이건 좀 놓고...,나 지금 너무 슬프단 말이예요,0
나 지금 너무 슬프단 말이예요,아무리 그래도...이거는 좀 풀고...하아,0
아무리 그래도...이거는 좀 풀고...하아,아 나 죽어 버릴거야. 나 진짜 죽어 버릴거야. 아아아,0
아 나 죽어 버릴거야. 나 진짜 죽어 버릴거야. 아아아,그런 심한 말씀은 하지 마시고요...,0
야! 임마!,아씨! 왜 그래?,0
아씨! 왜 그래?,뭐? 아씨? 형한테 아씨? 근데 이게!,0
뭐? 아씨? 형한테 아씨? 근데 이게!,나 오늘 무지 예민하거든. 그러니까 건들지마!,0
넌 또 뭐 임마?,저-오늘 여기서 자면 안될까요?,0
저-오늘 여기서 자면 안될까요?,왜 여기서 자 임마. 니 방 나두고.,0
왜 여기서 자 임마. 니 방 나두고.,제방은 미란이 누님이 계시지 않습니까?,0
제방은 미란이 누님이 계시지 않습니까?,그냥 자 임마 나이차이가 19년인데 설마 무슨 일 있으라고?,0
그냥 자 임마 나이차이가 19년인데 설마 무슨 일 있으라고?,엄연히 남녀가 구별이 있는데 어떻게 그럽니까,0
그러니까 왜 애를 만나가지고 상처를 주냔 말이야. 내 말은?,운명 이였는데 어떡해요.!,0
운명 이였는데 어떡해요.!,운명? 운명 같은 소리 하고 있네. 동서는 지금 우리 가족들한테 미안하지도 않아!,0
운명? 운명 같은 소리 하고 있네. 동서는 지금 우리 가족들한테 미안하지도 않아!,미안하긴 하죠. 하지만 어떡하겠어요. 이것도 운명인데.,0
미안하긴 하죠. 하지만 어떡하겠어요. 이것도 운명인데.,아무튼 애 어떡할 거야! 오늘도 지방에서 나오지 않고 있는데 동서 애 어떡할 거냐고?,0
아침에 일찍 오네요. 집이 여기서 가까운가봐요?,네,0
네,뭐부터 하면 되요?,0
뭐부터 하면 되요?,알아서 하세요...,0
아이고 어르신. 어서 오십시오  어쩐 일이세요?,어쩐 일은. 소고기 두 근 만 줘!,0
어쩐 일은. 소고기 두 근 만 줘!,네? 소고기 두 근요?,0
네? 소고기 두 근요?,아 그래 얼른 줘,0
근데 니들 학교 안 갔니?,오늘 유치원 쉬는 날 이예요.,0
오늘 유치원 쉬는 날 이예요.,그래? 아빠는?,0
그래? 아빠는?,아빠는 자요!,0
아빠는 자요!,뭐?  ,0
할아버지 뭐 하세요?,보면 모르냐 할애비가 죽 끓이잖냐?,0
보면 모르냐 할애비가 죽 끓이잖냐?,와 맛있겠다. 우리 줄거죠?,0
와 맛있겠다. 우리 줄거죠?,응...너희도 주고...니 애비도 주고...,0
응...너희도 주고...니 애비도 주고...,할아버지는 남잔데 요리를 하세요?,0
할아버지는 남잔데 요리를 하세요?,원래...남자도 다 하는 거야.,0
왜 그렇게 뛰어요.,애들이 기다려서요...,0
애들이 기다려서요...,하긴...그렇겠군요...괜찮아요?,0
하긴...그렇겠군요...괜찮아요?,뭐가요?,0
뭐가요?,아뇨...뭐...,0
제가 접시를 주면 잘 받았어야죠?,잘 줘야 잘 받죠.,0
잘 줘야 잘 받죠.,핸드폰 하다가 떨어뜨린 거잖아요.,0
핸드폰 하다가 떨어뜨린 거잖아요.,전화가 오면 받아야죠. 그럼 안 받아요?,0
전화가 오면 받아야죠. 그럼 안 받아요?,이렇게 하실거면 하지마세요,0
이렇게 하실거면 하지마세요,내가 뭘요?,0
사실은 내가 말이예요  오늘 그쪽을 위해서 준비를 무지 많이 했거든요.,왜요?,0
왜요?,왜요는요. 분위기 없게. 그쪽이 우울하게 있으니까 그렇죠.,0
왜요는요. 분위기 없게. 그쪽이 우울하게 있으니까 그렇죠.,그렇다고 이렇게 깜깜하고 으슥한데까지는 올 필요 없잖아요. 난 좀 무서운데.,0
무거워요?,완전 버릇 되겠습니다. 술만 먹으면. 네?,0
완전 버릇 되겠습니다. 술만 먹으면. 네?,무겁냐구요?,0
무겁냐구요?,그럼 무겁지 안 무겁습니까?,0
그럼 무겁지 안 무겁습니까?,여자가 뭐가 무거워요?,0
하--참나....이거...,참나 뭐요?,0
참나 뭐요?,내가 뭐라고 했어요?,0
내가 뭐라고 했어요?,뭐라고 했잖아요. 아...참나 뭐어... 했..잖..아...요...,0
뭐라고 했잖아요. 아...참나 뭐어... 했..잖..아...요...,목이 좀 찝찝했어 그랬어요. 왜요?,0
목이 좀 찝찝했어 그랬어요. 왜요?,왜 찝찝해요. 쳇!!,0
왜 찝찝해요. 쳇!!,그럼 안 찝찝합니까,0
왜 안자고 나왔어?,오줌 마려서 화장실 갔다 왔어! 고모 뭐해?,0
오줌 마려서 화장실 갔다 왔어! 고모 뭐해?,내일 아침 국하고 밥 좀 미리 해 놓고 자려고!,0
내일 아침 국하고 밥 좀 미리 해 놓고 자려고!,응 알았어,0
사람을 그렇게 쥐어 패는 건 아니죠,내참 기가막혀서!,0
내참 기가막혀서!,"기가 막힌 건 나예요, 앞으로 좀 조심해 주셨으면 좋겠어요",0
기가 막힌 건 나예요  앞으로 좀 조심해 주셨으면 좋겠어요,"이보세요, 내 말이 바로 그 말이예요!",0
이보세요  내 말이 바로 그 말이예요!,우리한테 무슨 감정이 있어요? 우리가 뭘 잘 못했다고?,0
왜 그렇게 보세요?,아가씨 부모님은 안 계세요.?,0
아가씨 부모님은 안 계세요.?,안 계시는데요!,0
안 계시는데요!,일가친적은요? 주위에 친적 없어요?,0
일가친적은요? 주위에 친적 없어요?,없는데요!,0
갑자기 이렇게 불러내면 어떡해요?,가만 있어! 내가 저번부터 너한테 이야기 했었잖아!,0
가만 있어! 내가 저번부터 너한테 이야기 했었잖아!,그래도 이렇게 갑자기 불러내는 건 아니죠?,0
그래도 이렇게 갑자기 불러내는 건 아니죠?,일단 앉아,0
홍콩에서 무슨 일 하세요?,외환 딜러로 일하고 있습니다.,0
외환 딜러로 일하고 있습니다.,그럼 홍콩에서 아예 사시는 거예요?,0
그럼 홍콩에서 아예 사시는 거예요?,홍콩하고 한국하고 왔다갔다 합니다.,0
너 어떻게 된거야 ? 왜 이제 전화해,니가 전화 안받았지 내가 안 했냐,0
니가 전화 안받았지 내가 안 했냐,어떻게 된거야!,0
어떻게 된거야!,일단 엄마한테 말하지마,0
괜찮아요?,여기는 어떻게...,0
여기는 어떻게...,왜 그랬어요? 조심 좀 하시죠.,0
왜 그랬어요? 조심 좀 하시죠.,이게...조심해서 될 일은 아니구요,0
이게...조심해서 될 일은 아니구요,그래도요. 이게 뭐예요. 이렇게 다쳐 가지고,0
빨리 앉아봐. 진짜 엄청난 일이 있었다니까아-,아- 왜 그래,0
아- 왜 그래,형은 이 엄청난 날에 대체 어디 갔다 온거야?,0
형은 이 엄청난 날에 대체 어디 갔다 온거야?,약사협회 총회라 갔다 왔다 왜?,0
약사협회 총회라 갔다 왔다 왜?,아-빨리 앉아 보라고!!!,0
너 다 저녁때 제비같이 쫘-악 빼입고 어디가냐?,말을 해도 꼬옥!,0
말을 해도 꼬옥!,아니 밥 차려 놨는데 어딜 가아!,0
아니 밥 차려 놨는데 어딜 가아!,아 있어요,0
정말 이런 식으로 할겁니까? 지금이 몇신데 이제 와요?,죄송해요 일이 좀 있었어요!,0
죄송해요 일이 좀 있었어요!,아무리 일이 있어도 그렇지,0
아무리 일이 있어도 그렇지,아 죄송하다구요,0
그러니까 인석아 왜 물불 안 가리고 미친놈처럼 나서,어머니한테 맞는 게 더 아퍼요!,0
어머니한테 맞는 게 더 아퍼요!,"전쟁나면 전쟁터도 나가겠다, 이 정신 없는 녀석아!",0
전쟁나면 전쟁터도 나가겠다  이 정신 없는 녀석아!,당연히 가야죠.,0
당연히 가야죠.,뭐얏!,0
그냥 단도직입적으로  말하자. 왜 ! 그 남자를 만나러 갔니?,"저기요, 엄마...저는 그냥 문병하러...",0
저기요  엄마...저는 그냥 문병하러...,문병을 왜 가니? 니가?,0
문병을 왜 가니? 니가?,저기...그게...,0
저기...그게...,너 그 남자 좋아해?,0
너 그 남자 좋아해?,아...아뇨...좋아한다기보다는......,0
당신 뭐해요?,당신은 모르실꺼야! 얼마나 사모했는지이-,0
당신은 모르실꺼야! 얼마나 사모했는지이-,아! 당신 지금 뭐 하냐구욧!,0
아! 당신 지금 뭐 하냐구욧!,아우 깜짝이야.  어이구야! 당신 언제 들어왔어.,0
아우 깜짝이야.  어이구야! 당신 언제 들어왔어.,언제 들어오기는요!  두눈에 넘쳐 흐르는 뜨거운 나의 눈물로--할때 들어왔죠!,0
당신은 지금 노래가 나와요?,뭐?,0
뭐?,애비라는 사람이 노래가 나오냐구요?,0
애비라는 사람이 노래가 나오냐구요?,지들이 알아서 하겠지,0
아무튼 난 사귀는 것도 반대고 결혼도 반대고 무조건 다 반대야. 안돼!,그렇게 미리 지레 짐작하지 말고...사람..참.,0
그렇게 미리 지레 짐작하지 말고...사람..참.,속편한 소리하고 있으시네,0
속편한 소리하고 있으시네,사람...성격 급하기는...좀 있어봐. ,0
제가 뭐 도와 드려요?,애들 오기 전에 간식으로 김치전이나 좀 부쳐 놓자구! 김치 묵은 거 다 처치해야  돼!,0
애들 오기 전에 간식으로 김치전이나 좀 부쳐 놓자구! 김치 묵은 거 다 처치해야  돼!,제가 도와 드릴께요,0
제가 도와 드릴께요,고마워,0
어떻게...이게 얼마 만이죠,30년만이네요.,0
30년만이네요.,근데..어떻게 하나도 안 변하셨네요?,0
근데..어떻게 하나도 안 변하셨네요?,무슨 말씀이세요. 세월이 얼만데요...,0
무슨 말씀이세요. 세월이 얼만데요...,"하긴,..그렇지만...",0
너는 여기 왜 왔냐?,머리 자르러 왔다,0
머리 자르러 왔다,안 잘라도 되겠구만 뭔 머리를 자르러 와!,0
안 잘라도 되겠구만 뭔 머리를 자르러 와!,그래도 내가 명색이 보도국장인데 깔끔하게 하고 다녀야지 자식은!,0
그래도 내가 명색이 보도국장인데 깔끔하게 하고 다녀야지 자식은!,핑계도 가지가지예요,0
핑계도 가지가지예요,그러는 너는,0
너 뭐하냐?,뚱땡이는 빠져!,0
뚱땡이는 빠져!,말뽄새 좀 고쳐,0
말뽄새 좀 고쳐,으씨! 야,0
엄마 밥줘!,얼른 들 올라와.,0
얼른 들 올라와.,아버지는?,0
아버지는?,낸들 아니? 요새 니 아버지 무슨 일이 있는지 맨날 늦게 오신다,0
아 말을 좀 해봐!,그냥 그렇지 뭐,0
그냥 그렇지 뭐,그냥 그런 게 어딨어?,0
그냥 그런 게 어딨어?,근데 넌 왜 화를 내니?,0
근데 넌 왜 화를 내니?,내가 언제 화를 냈다고 그래?,0
내가 언제 화를 냈다고 그래?,지금 화냈잖아,0
뭐 이런 걸 다 배우고 싶다고 그래?,재밌잖아요,0
재밌잖아요,아무튼 시집가면 잘 살 거야...,0
아무튼 시집가면 잘 살 거야...,근데 정말 이 꽃게를 다 써도 되요?,0
어땠어?,뭐가요?,0
뭐가요?,촬영이 어땠냐구?,0
촬영이 어땠냐구?,그저 그랬어요.,0
그저 그랬어요.,왜 그저 그래?,0
왜 그저 그래?,이 생활 올해로 8년째예요,0
너 화났니?,아뇨..제가 왜 화가 나요.,0
아뇨..제가 왜 화가 나요.,"아니,,,난 니가 좀 화가 나 보여서.",0
아니   난 니가 좀 화가 나 보여서.,그런 적 없어요. 나가주세요. 저 바로 잘 거예요.,0
이건 어때요?,이쁜데요.,0
이쁜데요.,진짜요?,0
진짜요?,한번 써봐요.,0
한번 써봐요.,그럴까! ,0
내가 뭘 떠 넘겨요?,사람을 이렇게 만들어놨으면 어떠냐고 전화한통이 있어야지..,0
사람을 이렇게 만들어놨으면 어떠냐고 전화한통이 있어야지..,그래서요. 지금 나보고 어쩌라는 겁니까?,0
그래서요. 지금 나보고 어쩌라는 겁니까?,"그,,그런건 아니지만 무언가 심정적 위로를 하든가...무언가 미안하다는 성의를 보여야죠",0
그  그런건 아니지만 무언가 심정적 위로를 하든가...무언가 미안하다는 성의를 보여야죠,어이구..누가 아니랄까봐...,0
이 놈의 기집애!,당신 왜 그래? 생전 손 한번 안 대던 사람이...,0
당신 왜 그래? 생전 손 한번 안 대던 사람이...,당신은 절루 가 있어! 당신도 얻어터지고 싶어서 그래!,0
당신은 절루 가 있어! 당신도 얻어터지고 싶어서 그래!,소리는 지르지 말고!,0
소리는 지르지 말고!,어떻게 되긴 개뿔이 어떻게 돼,0
아이고 기가막혀...,좀 진정하고 차근차근 생각해봐.,0
좀 진정하고 차근차근 생각해봐.,뭘 차근차근 생각해요! 뭘 차근차근!,0
뭘 차근차근 생각해요! 뭘 차근차근!,여보…,0
여보…,당신이 더 나뻐~ 당신이!,0
너 진짜 아까부터 왜 그러냐?,아냐!,0
아냐!,뭐가 아니긴 아냐 임마! 무슨 고민 있는가 본대.,0
뭐가 아니긴 아냐 임마! 무슨 고민 있는가 본대.,아니라니까,0
아니라니까,너 또 뭐 안 되는 거 있어?,0
쟤 요새 왜 그래?,그러게... 생각이 좀 많은 것 같다,0
그러게... 생각이 좀 많은 것 같다,자식이 무슨 맨날 생각은? 쟤가 저러니까 안 되는 거야,0
자식이 무슨 맨날 생각은? 쟤가 저러니까 안 되는 거야,너는 동생한테 왜 그러니?,0
너는 동생한테 왜 그러니?,내 말이 틀려?,0
그래 얼마나 있다 오는 거야?,1주일요!,0
1주일요!,무슨 취재를 1주일씩이나 해!,0
무슨 취재를 1주일씩이나 해!,섬이라서 배가 제때 안떠서 그래요. 아마 연락하기 힘드실 거예요,0
섬이라서 배가 제때 안떠서 그래요. 아마 연락하기 힘드실 거예요,내가 지금 너한테 그거 걱정하니?,0
내가 지금 너한테 그거 걱정하니?,알아요...그 일도 제가 잘 정리할게요.,0
뭐 하냐?,오늘 낚싯대 배달 된 거 확인해 보고 있잖수!,0
오늘 낚싯대 배달 된 거 확인해 보고 있잖수!,별걸다..,0
별걸다..,그러는 형은 바느질 취미 되겠수. 응?,0
그러는 형은 바느질 취미 되겠수. 응?,너도 싫어하고 어머니도 뭐라고 하셔서 안 하려고 했는데..자꾸 해보니까 마음이 편안해 지네,0
너도 싫어하고 어머니도 뭐라고 하셔서 안 하려고 했는데..자꾸 해보니까 마음이 편안해 지네,나도 낚시나 갈까 하우! 그러면 마음이 좀 편안해 질까?,0
도대체 이런 식으로 결혼하는 집이 어딨어요?,끝났어 이 사람아. 그만해.,0
끝났어 이 사람아. 그만해.,아니 내 말은...지금 지 형들도 있는데...어떻게 좀 기다렸다가 가도 가야하는거 아니냐 이 말이예요,0
아니 내 말은...지금 지 형들도 있는데...어떻게 좀 기다렸다가 가도 가야하는거 아니냐 이 말이예요,그러다가 또 놓칠려고? 그러지 마! 물론 앞뒤 순서가 중요하기는 하지만..,0
여기! 도 좀 쓸어!,네에? 여기두요?,0
네에? 여기두요?,빨리 좀 쓸어! 오늘 귀한 손님 오신단 말야,0
빨리 좀 쓸어! 오늘 귀한 손님 오신단 말야,알았습니다. 쓸지요,0
안녕하셨어요. 어머님!,어서와요. 금방 들어오네!,0
어서와요. 금방 들어오네!,하하.. 가까운데요...뭐...,0
하하.. 가까운데요...뭐...,근데 오늘 멋있어요,0
근데 오늘 멋있어요,감사합니다.,0
뛰지는 말지 그랬어요,난 어른들이 기다리시니까 빨리 갈려고 그랬죠.,0
난 어른들이 기다리시니까 빨리 갈려고 그랬죠.,하하하.,0
하하하.,왜 웃어요?,0
왜 웃어요?,이뻐서요,0
내 말은 무슨 말이냐면...,무슨 말씀이신지 알아요. 하지만...,0
무슨 말씀이신지 알아요. 하지만...,"혀는 내밀지 말구요,다 큰 아가씨가 아까부터 왜 자꾸 혀는 내 밀어요.,",0
혀는 내밀지 말구요 다 큰 아가씨가 아까부터 왜 자꾸 혀는 내 밀어요.,죄송합니다. 버릇이라서!,0
하지만 저희 노력하기로 했어요.,무슨 노력요?,0
무슨 노력요?,"서로 말을 많이 하기로 했어요,",0
서로 말을 많이 하기로 했어요,그럼 말 안하고 사는 부부도 있어요.?,0
그럼 말 안하고 사는 부부도 있어요.?,아니...그런 뜻이 아니라요...,0
시집가서 잘 살아야 돼...,걱정하지 마세요.,0
걱정하지 마세요.,엄마가 너 얼마나 사랑하는지 알지?,0
엄마가 너 얼마나 사랑하는지 알지?,저도 엄마 많이 사랑해요...,0
낚시하러 가자매? 여기 낚시터 가는 길 아니잖아!,가만있어. 우리가 아저씨들도 아니고...처음부터 어떻게 다짜고짜 낚시터로 가,0
가만있어. 우리가 아저씨들도 아니고...처음부터 어떻게 다짜고짜 낚시터로 가,그럼 어디로 갈건데?,0
그럼 어디로 갈건데?,내가 어따 팔아 먹을까봐?,0
내가 어따 팔아 먹을까봐?,우리 어디로 가냐고!!!,0
발레 배우고 싶어요.,너 수영하기로 했잖아!,0
너 수영하기로 했잖아!,수영도 하고 발레도 배우고 싶어요,0
수영도 하고 발레도 배우고 싶어요,수영도 제대로 못하는 게!,0
옆에 있어요?,자는데요!,0
자는데요!,정말 자요?,0
정말 자요?,그렇다니까요. 왜요?,0
그렇다니까요. 왜요?,옹알이라도 한번 들어 보고 싶어서요.,0
옹알이라도 한번 들어 보고 싶어서요.,옹알이? 그런 단어를 아는 것 보니까 엄마는 엄마긴 봅니다?,0
진정 하세요.,아니 그래도 사위가 왔는데 어떻게 이러고 있어!,0
아니 그래도 사위가 왔는데 어떻게 이러고 있어!,참나...,0
참나...,나 옷좀 챙겨줘!,0
나 옷좀 챙겨줘!,당신은 좀 가만히 계세요!,0
뭐해?,책 본다!,0
책 본다!,뭐야? 이거! 책도 아니구만 뭐!,0
뭐야? 이거! 책도 아니구만 뭐!,야 임마! 왜 보는 걸 가져가!  잡지는 책 아니냐 임마!,0
어디가,쓰레기 버리러 가,0
쓰레기 버리러 가,어두운데 내일 가지!,0
어두운데 내일 가지!,요 앞인데 뭐! ,0
왜 이래요...,가만있어요...극장에서 남자가 여자 손 잡는 건 에티켓이예요.,0
가만있어요...극장에서 남자가 여자 손 잡는 건 에티켓이예요.,에팃켓이라뇨?,0
에팃켓이라뇨?,안 잡는 놈이 나쁜 놈이라는 뜻이죠!,0
축하한다!,"죄송합니다., 큰 형님!",0
죄송합니다.  큰 형님!,죄송하기는...무슨 그런 말이 있어. 아무튼 축하해! 축하드립니다. 그리고 환영합니다. 제수씨!,0
죄송하기는...무슨 그런 말이 있어. 아무튼 축하해! 축하드립니다. 그리고 환영합니다. 제수씨!,감사합니다. 아주버니!,0
감사합니다. 아주버니!,아주버니? 이거...갑자기 이런 말 들으니까 쑥스러운데요..허허허.,0
같이 협력하기로 했던 파리 협력업체가 클레임을 걸어와서요...,옷이 맘에 안든대?,0
옷이 맘에 안든대?,그런 건 아니구요...유럽에서 같이 론칭하는데 지분 계약 문제가지고 좀 골치가 아플 것 같아요..,0
그런 건 아니구요...유럽에서 같이 론칭하는데 지분 계약 문제가지고 좀 골치가 아플 것 같아요..,무조건 많이 받는 쪽으로 하자구 해!,0
니가 뭔데 내 인생에 상관이야!,누가 상관하고 싶어서 상관하냐? 형이 되가지고 먼저 장가를 가야...,0
누가 상관하고 싶어서 상관하냐? 형이 되가지고 먼저 장가를 가야...,그러니까 너 먼저 가라고! 이 자식아,0
그러니까 너 먼저 가라고! 이 자식아,"왜 화를 내고,,,그래...",0
요새 어떻게 지내?,뭘요...매일 보시면서..,0
뭘요...매일 보시면서..,아니...그래도 서로 일만 하니까..궁금해서.,0
아니...그래도 서로 일만 하니까..궁금해서.,저 잘 지내요!,0
저 잘 지내요!,밥은?,0
밥은?,잘 먹죠...,0
가능하면 유치원에는 고모님이 오셨으면 하는데...,무슨 말씀인지 잘 알았습니다...,0
무슨 말씀인지 잘 알았습니다...,죄송합니다...워낙 어머니들이 유별나시기도 해요...,0
죄송합니다...워낙 어머니들이 유별나시기도 해요...,아...아닙니다. 충...분히 이해 갑니다. 오히려...제가..죄송합니다. 원장선생님...,0
엄마!,넌 왜?,0
넌 왜?, 형만 입이고..나는 입 아냐! 왜 형만 줘,0
형만 입이고..나는 입 아냐! 왜 형만 줘,너는 니가 알아서 먹어. 누가 먹지 마래!!!,0
너는 니가 알아서 먹어. 누가 먹지 마래!!!,아니...사람이 기분이 나쁘잖아!,0
내가 너를 어떻게 믿니! 어떻게 믿어!,형이 저 엄마한테 한번만 더 대들면 그때는 완전 죽여 버린다고 했단 말이예요.,0
형이 저 엄마한테 한번만 더 대들면 그때는 완전 죽여 버린다고 했단 말이예요.,형이 무섭긴 무섭구나. 응?,0
형이 무섭긴 무섭구나. 응?,엄마 그만 하세요. 저 어젯밤에 형한테 정말 눈에서 별보이게 맞았단 말이에요,0
엄마 그만 하세요. 저 어젯밤에 형한테 정말 눈에서 별보이게 맞았단 말이에요,그러니까 왜 니가 제수씨 앞에서 엄마한테 대들어! 대들기는!,0
무슨 이런 걸 사셨어요...그냥 오셔도 되는데.," 그래도,,어떻게 그냥 와요..",0
그래도  어떻게 그냥 와요..,아...이쪽으로 가시죠..이쪽으로 가면 제 약국이 있거든요...,0
아...이쪽으로 가시죠..이쪽으로 가면 제 약국이 있거든요...,네,0
약국이 정말 아담하고 이쁘네요...,아담하고 이쁘기는요...그냥 동네 약국이죠...,0
아담하고 이쁘기는요...그냥 동네 약국이죠...,그래도..이정도면 정말 깨끗하고 이쁜거예요...,0
그래도..이정도면 정말 깨끗하고 이쁜거예요...,그런가요... 감...사합니다.,0
그렇지않아도 문자 온 거 봤는데...제가 그만 깜박했어요.,왜 깜빡해?,0
왜 깜빡해?,너무 피곤해서요...,0
너무 피곤해서요...,밤에 뭐하는데?,0
밤에 뭐하는데?,요새 운동해요.,0
아우 정말 괜찮았다니까,괜찮긴 뭐가 괜찮아--아 좀 비켜봐 신문 좀 보게!,0
괜찮긴 뭐가 괜찮아--아 좀 비켜봐 신문 좀 보게!,지금 신문이 대수야. 신문이!,0
지금 신문이 대수야. 신문이!,말을 먼저 들어봐야지. 당신이 이렇게 좋아서 그러면 어떡해!,0
그만 좀 우세요...무슨 초상났어요?,어떻게 믿어,0
어떻게 믿어,저 안오면 좋죠! 형님 저 싫어하시잖아요!,0
저 안오면 좋죠! 형님 저 싫어하시잖아요!,정말 끝까지 그렇게 사람 속 뒤집어 놓고 갈거야?,0
넌 오늘 왜 그러냐?,뭐,0
